object_counts,physics_update_elapsed_time,render_elapsed_time
16490,5440,309
16500,6577,328
16510,6495,306
16520,5863,328
16530,6477,328
16540,5932,330
16550,5744,342
16560,6617,309
16570,5224,302
16580,5941,394
16590,5985,286
16600,5021,281
16610,5608,252
16620,5198,257
16630,5895,364
16640,5384,235
16650,6165,312
16660,6044,302
16670,5876,320
16680,5916,309
16690,6471,314
16700,5867,295
16710,5210,208
16720,5452,302
16730,6278,336
16740,6191,328
16750,5794,336
16760,6797,325
16770,6268,310
16780,6362,311
16790,6481,319
16800,6480,323
16810,6394,317
16820,6370,326
16830,6572,320
16840,5502,393
16850,5604,290
16860,5521,293
16870,5492,302
16880,5873,218
16890,5451,300
16900,5875,279
16910,6411,320
16920,6622,291
16930,6645,317
16940,5842,365
16950,6083,224
16960,6607,337
16970,6582,311
16980,5984,342
16990,5641,286
17000,5996,306
17010,5424,300
17020,6581,316
17030,6316,279
17040,5821,260
17050,6477,332
17060,6598,312
17070,6375,318
17080,6663,326
17090,6154,234
17100,6629,306
17110,6655,344
17120,5239,269
17130,6764,225
17140,5256,284
17150,5572,338
17160,5308,268
17170,5232,312
17180,6641,307
17190,6147,324
17200,6670,311
17210,6587,321
17220,6673,293
17230,5844,315
17240,6267,319
17250,5810,349
17260,5697,280
17270,6423,335
17280,6241,328
17290,6066,321
17300,7117,308
17310,5665,281
17320,6668,500
17330,5566,281
17340,6894,328
17350,6290,319
17360,6163,319
17370,6941,337
17380,6422,243
17390,5280,319
17400,6548,322
17410,5916,288
17420,6141,327
17430,6640,309
17440,5790,279
17450,6551,321
17460,5534,287
17470,5845,322
17480,5716,306
17490,5324,310
17500,6125,329
17510,5846,300
17520,6569,313
17530,6214,346
17540,5823,314
17550,5684,364
17560,6173,301
17570,6931,354
17580,6918,326
17590,5287,292
